gene,average,median,max,min,growth_correlation
b3766,2.8828196898518215,1.81845042399611,8.74142194941066,0.0,-0.1525054520974447
b3769,4.62276228050897,4.71192484984164,8.25602513018055,0.0,0.16051984512557713
b3770,8.364640745138793,8.41820730227338,10.780973125961,5.83511803831967,0.3167731063311366
b3771,7.497974188768607,7.52026271746546,10.354935557624,5.28917018084554,0.22624944761455248
b3772,6.9326898612149686,6.8826821950002,10.0207088398217,4.62846056005506,0.17401092900928242
b3773,4.155373013085438,4.12779560758868,5.74663408124144,2.3880965019308,0.26774095516910673
b3774,11.06936831461922,11.5384693681929,13.080698242798,4.97383716115002,0.21222072064488762
b3775,6.956260118092404,6.85292005506855,8.59247044505226,5.13214381248215,0.2853272893995468
b3777_2,3.98737139983616,4.23330027940803,6.06528741015881,0.0,-0.10857297973120505
b3778,6.10943056079998,6.12616467344035,7.12156466436769,5.04710464610534,-0.0953482795765862
b3779,7.382687824833178,7.43958976211649,8.35114801191691,6.29177990471591,-0.06492488349999927
b3780,9.20297939037462,9.21650918255203,10.0214350867294,8.23901636314153,0.12295016503970721
b3781,10.040239350509426,10.0544588666022,11.3251904410055,8.36920993829621,-0.22026561943595305
b3783,9.913932539390279,9.88532125608381,11.9368045275975,8.50057959955633,0.19621902281897008
b3784,7.435144296085976,7.47993901825307,8.25940047403375,6.38377312210269,0.3206889086533584
b3785,7.09318673185201,7.11306648413545,7.90294966089922,3.13559169698855,0.3654551768829501
b3786,6.93347709131664,7.03257303250116,8.0564262738995,3.29465400642815,0.35478467351526166
b3787,6.7892272450245095,6.89933359131362,8.02220291891265,3.83527718165763,0.43394346368031755
b3788,6.530714045466716,6.58248710788725,7.6752385478882,4.09753221642586,0.5721661851425446
b3789,6.343800042943951,6.32642127837758,7.57490724420594,3.94289807731592,0.4224522415310622
b3790,5.366500548555403,5.37888030451936,6.98850131007061,3.59312115965013,0.4722494695233663
b3791,6.474232365230929,6.48020920457409,7.70479947008815,5.47602316818617,0.5089986599375389
b3792,5.3811171417938874,5.41343894936814,6.7772246204989,4.38682059442399,0.16285587698242032
b3793,4.308125473365285,4.38120332079277,5.94393982390604,2.69365614975532,-0.014364897092058114
b3794,5.595005105737279,5.62260906847963,6.92549711931473,4.40375364051395,0.03265834778684258
b3795,6.286873484668727,6.4893481261864,7.63607706924593,3.39547699919451,0.0070734830580809075
b3800,2.7829430767867414,2.73602604738683,4.48318639519112,0.997116917713732,-0.3436806266104178
b3801,3.392888219414827,3.38212650653485,4.70626537815254,1.72559498424984,-0.14986811818485582
b3802,7.546315802789861,7.5170753264889,8.55085930655359,6.87290215757293,0.05223735939795148
