Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
ydbK	1.1184953289955484	1.0936042905882364	1.2055362563308447	1.0551515017241255	1.014116034682936	1.3086285382191845	1.1134014592424677	1.1150588694996224	1.090009059056996	1.3741719561879235	1.0529017961798812	1.0098009367548282	0.9882548848969157	1.1667180985052357	1.0208461452970607	1.4637938939423736	1.283545501985594	1.1694397559836205	1.1383237427620636	1.2486341096937426
wbbI	2.0725235439543015	1.9989930622423024	2.165813659431768	2.0445536905831836	1.9676616682844847	2.083684641682194	2.1947547656963042	2.0855910154548334	2.262352222355651	2.3870968450204244	2.1156509590618175	1.9086120009604362	2.12929106043754	2.1063436609619997	2.13883717944832	1.9336037863142181	2.047059769292308	2.1102997435051076	2.1558717939911287	2.056446999606296
yaeH	2.8224947716603865	2.7086806245249884	2.6088233568246455	2.7473102483618597	2.7597782709498775	2.6776585614874033	2.529813021405417	2.739124252515852	2.4334266535080507	2.2496326416935566	2.6897015494546106	2.8125140804225093	2.7179478486156032	2.650688389712907	2.6960389824636954	2.8780191549531744	2.831882689321861	2.7646425349068666	2.686560414158367	2.7881606837790693
tatB	2.1736424430600634	2.0646214354537067	2.1054463713446423	2.161054158770281	2.194372369284549	2.14942041666481	2.108695329924883	2.1018197152842624	2.1859796181883326	2.105245367843542	2.177620875379265	2.252453953404109	2.2102331389226872	2.146298539541903	2.143832305851489	2.050842188108676	2.035759962361452	2.0962152202967017	2.045361192265034	2.1601304632778144
spy	2.3942571912003094	2.325636636531271	2.0829522650662295	2.146112858234101	2.303812336143129	2.2157876004014994	1.924716116737697	2.12856932928791	1.8509662714519821	1.7272489418593708	2.0900176462462783	2.008334086483567	2.3151476137759603	2.080355321230585	1.8576394364207365	2.0976154328854775	2.0313612274715327	2.047373947562901	1.9228487281828832	1.7675571790474482
arcB	0.9882785928875679	1.1596383852109085	1.0212843408549843	1.0913799840753577	1.1191956996862376	1.1440341236937173	0.9922574656281663	1.0403059590455743	1.0328361761820708	1.1647885876044741	1.0788756056960669	1.112892667904738	1.2032874499845894	1.096174327451743	1.1192934057525212	1.2199480581398496	1.2322054113907681	1.1441205190521377	1.1357338776790642	1.217154623852998
cstA	1.6848283900885717	2.7104942355295436	2.379139068681814	2.77436384557297	2.6979788137383585	2.6375350069488537	1.8544374404091848	2.66088755574232	2.3506636338270788	2.070212228647661	2.850763282020909	1.7662471413959842	2.705512195143875	2.7449851686815774	1.9769602283377572	3.250324264467245	3.2374249301350337	3.1662732136872855	2.9879939761544594	1.3950992777455171
ybgF	2.069176988766139	2.326631111454953	1.9945727186736686	2.297338334961594	1.910457842287069	2.2241090413456837	2.438774466935538	2.3340172367795398	2.4537420563839687	2.2407343375944744	1.8543406366806605	2.1013281955123615	2.3418423584797163	1.9227287487807467	1.799630670421176	2.2003666801404687	2.2019336418897435	2.141471037947808	2.189840078099129	1.9611797067481227
ycfD	2.0532660914346286	2.2226377780329245	2.114169899149468	2.2179339676711067	2.276860062347243	2.221113506427198	2.211555839349095	2.269959860516188	2.1513112718334875	2.0677767279853656	2.189185818437077	2.214691745566062	2.1835452853276904	2.194020401220635	2.178199093099834	2.209414109499935	2.1639714324740322	2.1495001169042083	2.1491310080726596	2.1724178389519304
yfgM	2.2446681955989907	2.1162241886717608	2.18106276800487	2.162974765766978	2.1225556700859607	2.2177198444787187	2.3031011004478645	2.1944040411340437	2.3342111248166733	2.2729487612811687	2.2070019280370996	2.238179440763061	2.244878404917954	2.176513960072356	2.2867160737081402	2.0758315633759543	2.0705118504821214	2.1166565828023143	2.087004060477216	2.1196238374275986
