Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
MRPL22	-7.904687741030785	-7.703049210296279	-7.772013831914248	-7.658384123635312	-7.521262680924238	-7.405277004972185	-7.417695333474337	-7.571340677911427	-7.7869987357216575	-7.843963274337606	-7.440701207829117	-7.690867549981456	-7.609300107794152	-7.775711190416708
MDG1	-7.198601443441805	-7.570000254395247	-7.310539708945952	-7.2779455142608365	-7.303878060890939	-7.60133214081866	-7.750387865375246	-7.470255125706092	-7.49278437744409	-7.328792266464533	-7.390541856883805	-7.276553714477029	-7.582094735638605	-7.385570558407257
FMP41	-8.303239211568194	-8.524726734179243	-7.97624694903637	-7.975650534905494	-7.990586764807517	-8.139511988809646	-8.19506466621162	-8.547978026035183	-8.540100799424158	-7.867155798907355	-8.087153306696093	-7.785557673491922	-7.935983560119053	-7.809585281028429
YNL165W	-8.969058016338296	-9.309532992901696	-9.296337801627876	-9.440626967234737	-9.522025402999667	-9.693415198458718	-9.782765886804178	-9.27248973066039	-9.27339591747502	-9.279952321340522	-9.52876730143236	-9.463387712133322	-9.358446269562421	-9.36092781012256
RIA1	-9.930529236759055	-9.753566506050262	-9.647011878470058	-9.636800423163926	-9.59522752717725	-9.592701012381424	-9.548395849666894	-9.707238523667451	-9.776702289279214	-9.709591747893825	-9.746846438854009	-9.720585044955898	-9.737006837846954	-9.706585219611743
CBK1	-8.889767294572499	-8.863678635035445	-8.785126202284749	-8.776873231803503	-8.792751025461223	-8.937510833841822	-8.917910384042655	-8.83015020499593	-9.014716383558818	-8.818882487432676	-8.857256083465822	-8.841914100801025	-8.766267455282446	-8.820139089384176
CUZ1	-7.727140667769228	-7.600638228378846	-7.694545757876014	-7.722098754557146	-7.788078332083612	-7.884908926111568	-7.820766909316738	-7.641595946520153	-7.587627414018436	-7.666446713898367	-7.910206321776122	-7.747891892973901	-7.6495688479020805	-7.6735563824496245
PGA2	-7.192820482044932	-7.335920492463465	-7.173163766855159	-7.29472859794906	-7.429633595068189	-7.413897903660428	-7.420460700586837	-7.410747861768779	-7.280793038970411	-7.322072332999977	-7.640778748985738	-7.608247104399695	-7.311856904236239	-7.302478703669048
FYV6	-8.216158013857488	-8.458081655206811	-8.337741635757867	-8.317518519750275	-8.439144550917424	-8.803992687121537	-9.041653053149739	-8.552489538662938	-8.217939312108362	-8.309275706730418	-8.316331120413386	-8.256369588000933	-8.108598446303475	-8.176722751378115
NRK1	-8.918386690021617	-9.231650904758583	-7.638768087862964	-7.895937194543873	-8.232204739296856	-8.395421762703263	-8.58216296781869	-9.272105985219211	-9.167268644109177	-7.767630665944945	-9.184105225987095	-8.100439285517572	-8.853831708995019	-7.78322081215016
